tr,cr,fr,z
-0.247,0.873,-1.697,0.065
-0.244,0.877,-1.700,0.065
-0.240,0.880,-1.703,0.065
-0.236,0.884,-1.705,0.066
-0.232,0.888,-1.708,0.066
-0.228,0.891,-1.711,0.066
-0.224,0.894,-1.713,0.066
-0.220,0.898,-1.716,0.066
-0.216,0.901,-1.718,0.067
-0.212,0.904,-1.721,0.067
-0.208,0.907,-1.723,0.067
-0.203,0.910,-1.726,0.067
-0.199,0.912,-1.728,0.067
-0.195,0.915,-1.730,0.067
-0.191,0.918,-1.732,0.067
-0.186,0.920,-1.734,0.068
-0.182,0.923,-1.737,0.068
-0.178,0.925,-1.739,0.068
-0.174,0.927,-1.741,0.068
-0.169,0.929,-1.742,0.068
-0.165,0.932,-1.744,0.068
-0.160,0.934,-1.746,0.068
-0.156,0.936,-1.748,0.068
-0.152,0.939,-1.750,0.068
-0.147,0.941,-1.752,0.069
-0.143,0.944,-1.753,0.069
-0.139,0.946,-1.755,0.069
-0.134,0.949,-1.757,0.069
-0.130,0.951,-1.759,0.069
-0.126,0.954,-1.760,0.069
-0.121,0.956,-1.762,0.070
-0.117,0.959,-1.763,0.070
-0.113,0.961,-1.765,0.070
-0.108,0.963,-1.766,0.070
-0.104,0.965,-1.767,0.070
-0.099,0.966,-1.768,0.070
-0.095,0.968,-1.770,0.070
-0.090,0.969,-1.771,0.070
-0.086,0.971,-1.772,0.070
-0.081,0.972,-1.773,0.070
-0.077,0.973,-1.773,0.070
-0.072,0.974,-1.774,0.071
-0.068,0.975,-1.775,0.071
-0.063,0.976,-1.776,0.071
-0.059,0.976,-1.777,0.071
-0.054,0.977,-1.777,0.071
-0.050,0.978,-1.778,0.071
-0.045,0.978,-1.778,0.071
-0.041,0.978,-1.778,0.071
-0.036,0.978,-1.779,0.071
-0.031,0.978,-1.779,0.071
-0.027,0.978,-1.779,0.071
-0.022,0.977,-1.779,0.071
-0.018,0.977,-1.779,0.071
-0.013,0.977,-1.779,0.070
-0.009,0.976,-1.779,0.070
-0.004,0.976,-1.779,0.070
0.000,0.976,-1.779,0.070
0.005,0.976,-1.779,0.070
0.009,0.976,-1.779,0.070
0.014,0.977,-1.779,0.070
0.018,0.977,-1.779,0.071
0.023,0.978,-1.779,0.071
0.028,0.978,-1.779,0.071
0.032,0.979,-1.779,0.071
0.037,0.980,-1.779,0.071
0.041,0.980,-1.779,0.071
0.045,0.981,-1.779,0.071
0.050,0.982,-1.778,0.071
0.054,0.982,-1.778,0.071
0.059,0.983,-1.778,0.071
0.063,0.983,-1.777,0.071
0.068,0.983,-1.777,0.071
0.072,0.983,-1.776,0.071
0.077,0.983,-1.776,0.071
0.081,0.982,-1.775,0.071
0.086,0.982,-1.774,0.071
0.090,0.981,-1.773,0.071
0.095,0.980,-1.772,0.071
0.099,0.979,-1.771,0.071
0.104,0.979,-1.770,0.071
0.108,0.977,-1.769,0.071
0.113,0.976,-1.768,0.071
0.117,0.974,-1.767,0.071
0.122,0.973,-1.765,0.071
0.126,0.971,-1.764,0.071
0.130,0.969,-1.762,0.071
0.135,0.967,-1.761,0.071
0.139,0.964,-1.759,0.071
0.143,0.962,-1.758,0.070
0.148,0.959,-1.756,0.070
0.152,0.956,-1.754,0.070
0.156,0.954,-1.752,0.070
0.160,0.951,-1.750,0.070
0.165,0.948,-1.748,0.070
0.169,0.945,-1.746,0.069
0.173,0.942,-1.744,0.069
0.177,0.939,-1.742,0.069
0.182,0.937,-1.740,0.069
0.186,0.934,-1.738,0.069
0.190,0.931,-1.736,0.069
0.194,0.929,-1.734,0.068
0.199,0.926,-1.732,0.068
0.203,0.924,-1.729,0.068
0.207,0.921,-1.727,0.068
0.212,0.918,-1.725,0.068
0.216,0.915,-1.722,0.068
0.220,0.912,-1.720,0.068
0.224,0.909,-1.717,0.068
0.228,0.906,-1.715,0.067
