tr2,cr2,fr2
-0.2673,0.5485,-1.7839
-0.2709,0.5481,-1.7826
-0.2746,0.5477,-1.7813
-0.2782,0.5472,-1.7800
-0.2819,0.5467,-1.7786
-0.2856,0.5463,-1.7772
-0.2892,0.5458,-1.7758
-0.2929,0.5453,-1.7744
-0.2965,0.5448,-1.7729
-0.3001,0.5443,-1.7714
-0.3038,0.5438,-1.7700
-0.3074,0.5433,-1.7684
-0.3110,0.5428,-1.7669
-0.3145,0.5423,-1.7654
-0.3178,0.5418,-1.7640
-0.3212,0.5413,-1.7625
-0.3246,0.5408,-1.7610
-0.3280,0.5403,-1.7595
-0.3314,0.5397,-1.7580
-0.3348,0.5392,-1.7564
-0.3382,0.5386,-1.7548
-0.3416,0.5380,-1.7531
-0.3451,0.5375,-1.7515
-0.3485,0.5369,-1.7498
-0.3519,0.5363,-1.7481
-0.3554,0.5357,-1.7464
-0.3588,0.5350,-1.7446
-0.3622,0.5344,-1.7428
-0.3657,0.5338,-1.7410
-0.3691,0.5331,-1.7392
-0.3725,0.5324,-1.7374
-0.3760,0.5318,-1.7355
-0.3794,0.5311,-1.7336
-0.3828,0.5304,-1.7317
-0.3862,0.5297,-1.7298
-0.3896,0.5290,-1.7279
-0.3930,0.5283,-1.7259
-0.3964,0.5275,-1.7239
-0.3998,0.5268,-1.7219
-0.4031,0.5261,-1.7199
-0.4065,0.5253,-1.7178
-0.4099,0.5245,-1.7158
-0.4132,0.5238,-1.7137
-0.4166,0.5230,-1.7116
-0.4199,0.5222,-1.7094
-0.4232,0.5214,-1.7073
-0.4265,0.5206,-1.7051
-0.4298,0.5197,-1.7029
-0.4332,0.5189,-1.7008
-0.4365,0.5181,-1.6987
-0.4399,0.5173,-1.6965
-0.4432,0.5165,-1.6943
-0.4465,0.5157,-1.6921
-0.4497,0.5148,-1.6898
-0.4530,0.5139,-1.6876
-0.4563,0.5131,-1.6853
-0.4595,0.5122,-1.6829
-0.4627,0.5113,-1.6806
-0.4660,0.5104,-1.6782
-0.4692,0.5094,-1.6758
-0.4724,0.5085,-1.6734
-0.4756,0.5075,-1.6710
-0.4787,0.5065,-1.6684
-0.4818,0.5055,-1.6659
-0.4849,0.5045,-1.6633
-0.4880,0.5035,-1.6607
-0.4911,0.5024,-1.6581
-0.4942,0.5014,-1.6555
-0.4972,0.5003,-1.6528
-0.5003,0.4993,-1.6502
-0.5034,0.4982,-1.6475
-0.5064,0.4971,-1.6448
-0.5095,0.4960,-1.6421
-0.5125,0.4949,-1.6394
-0.5155,0.4938,-1.6367
-0.5185,0.4927,-1.6339
-0.5215,0.4916,-1.6312
-0.5245,0.4905,-1.6284
-0.5275,0.4893,-1.6256
-0.5305,0.4882,-1.6227
-0.5335,0.4870,-1.6199
-0.5364,0.4858,-1.6170
-0.5394,0.4847,-1.6142
-0.5423,0.4835,-1.6113
-0.5452,0.4823,-1.6084
-0.5482,0.4810,-1.6054
-0.5511,0.4798,-1.6025
-0.5540,0.4786,-1.5995
-0.5568,0.4773,-1.5965
-0.5597,0.4761,-1.5935
-0.5626,0.4748,-1.5905
-0.5654,0.4735,-1.5874
-0.5683,0.4722,-1.5843
-0.5711,0.4709,-1.5812
-0.5740,0.4696,-1.5781
-0.5768,0.4683,-1.5750
-0.5796,0.4670,-1.5719
-0.5824,0.4656,-1.5687
-0.5852,0.4643,-1.5655
-0.5879,0.4629,-1.5623
-0.5907,0.4615,-1.5591
-0.5934,0.4601,-1.5558
-0.5962,0.4587,-1.5525
-0.5989,0.4573,-1.5492
-0.6016,0.4559,-1.5459
-0.6044,0.4545,-1.5426
-0.6071,0.4530,-1.5393
-0.6098,0.4516,-1.5359
-0.6124,0.4501,-1.5325
-0.6151,0.4486,-1.5291
-0.6178,0.4471,-1.5256
-0.6204,0.4456,-1.5222
-0.6229,0.4442,-1.5190
-0.6249,0.4431,-1.5164
-0.6264,0.4422,-1.5145
-0.6279,0.4414,-1.5125
-0.6296,0.4404,-1.5104
-0.6313,0.4394,-1.5081
-0.6331,0.4384,-1.5056
-0.6350,0.4372,-1.5031
-0.6369,0.4360,-1.5004
-0.6390,0.4348,-1.4976
-0.6410,0.4335,-1.4947
-0.6431,0.4322,-1.4917
-0.6453,0.4308,-1.4886
-0.6474,0.4294,-1.4855
-0.6496,0.4280,-1.4823
-0.6518,0.4265,-1.4790
-0.6541,0.4250,-1.4757
-0.6564,0.4235,-1.4723
-0.6586,0.4220,-1.4688
-0.6609,0.4204,-1.4653
-0.6632,0.4188,-1.4617
-0.6656,0.4171,-1.4581
-0.6679,0.4155,-1.4545
-0.6702,0.4138,-1.4508
-0.6725,0.4121,-1.4471
-0.6749,0.4104,-1.4433
-0.6772,0.4087,-1.4395
-0.6796,0.4069,-1.4357
-0.6819,0.4052,-1.4318
-0.6842,0.4034,-1.4279
-0.6866,0.4016,-1.4240
-0.6889,0.3997,-1.4200
-0.6912,0.3979,-1.4160
-0.6935,0.3960,-1.4120
-0.6959,0.3942,-1.4079
-0.6982,0.3923,-1.4038
-0.7005,0.3904,-1.3997
-0.7028,0.3885,-1.3956
-0.7051,0.3865,-1.3914
-0.7074,0.3846,-1.3873
-0.7097,0.3827,-1.3832
-0.7120,0.3808,-1.3791
-0.7143,0.3789,-1.3749
-0.7166,0.3769,-1.3706
-0.7189,0.3748,-1.3663
-0.7211,0.3728,-1.3620
-0.7234,0.3708,-1.3577
-0.7257,0.3688,-1.3533
-0.7279,0.3667,-1.3490
-0.7301,0.3646,-1.3445
-0.7324,0.3625,-1.3401
-0.7346,0.3604,-1.3356
-0.7368,0.3583,-1.3311
-0.7390,0.3561,-1.3266
-0.7411,0.3539,-1.3220
-0.7433,0.3518,-1.3175
-0.7454,0.3495,-1.3127
-0.7476,0.3472,-1.3079
-0.7497,0.3448,-1.3031
-0.7518,0.3425,-1.2983
-0.7539,0.3402,-1.2935
-0.7560,0.3378,-1.2886
-0.7581,0.3355,-1.2837
-0.7602,0.3331,-1.2788
-0.7622,0.3307,-1.2739
-0.7643,0.3283,-1.2690
-0.7664,0.3259,-1.2640
-0.7684,0.3234,-1.2590
-0.7705,0.3210,-1.2540
-0.7725,0.3185,-1.2489
-0.7746,0.3160,-1.2438
-0.7766,0.3135,-1.2387
-0.7786,0.3110,-1.2336
-0.7806,0.3084,-1.2284
-0.7826,0.3059,-1.2232
-0.7846,0.3033,-1.2180
-0.7866,0.3007,-1.2127
-0.7886,0.2981,-1.2075
-0.7906,0.2954,-1.2021
-0.7925,0.2928,-1.1968
-0.7945,0.2901,-1.1914
-0.7965,0.2874,-1.1860
-0.7984,0.2847,-1.1805
-0.8003,0.2820,-1.1750
-0.8023,0.2792,-1.1695
-0.8042,0.2764,-1.1640
-0.8061,0.2736,-1.1584
-0.8080,0.2708,-1.1528
-0.8099,0.2680,-1.1471
-0.8118,0.2651,-1.1414
-0.8137,0.2622,-1.1357
-0.8156,0.2593,-1.1299
-0.8175,0.2563,-1.1241
-0.8193,0.2534,-1.1182
-0.8212,0.2504,-1.1123
-0.8230,0.2474,-1.1064
-0.8249,0.2443,-1.1004
-0.8267,0.2413,-1.0944
-0.8285,0.2382,-1.0883
-0.8303,0.2351,-1.0822
-0.8322,0.2319,-1.0761
-0.8340,0.2287,-1.0699
-0.8358,0.2255,-1.0637
-0.8375,0.2223,-1.0574
-0.8393,0.2191,-1.0511
-0.8411,0.2158,-1.0447
-0.8429,0.2125,-1.0383
-0.8446,0.2091,-1.0318
-0.8464,0.2057,-1.0253
-0.8481,0.2023,-1.0187
-0.8499,0.1989,-1.0121
-0.8516,0.1954,-1.0054
-0.8534,0.1919,-0.9987
-0.8551,0.1884,-0.9919
-0.8568,0.1848,-0.9851
-0.8585,0.1812,-0.9782
-0.8602,0.1776,-0.9712
-0.8619,0.1739,-0.9642
-0.8636,0.1702,-0.9571
-0.8653,0.1665,-0.9500
-0.8669,0.1627,-0.9428
-0.8686,0.1588,-0.9355
-0.8703,0.1550,-0.9282
-0.8719,0.1511,-0.9208
-0.8736,0.1471,-0.9134
-0.8752,0.1431,-0.9058
-0.8768,0.1391,-0.8982
-0.8785,0.1350,-0.8906
-0.8801,0.1309,-0.8828
-0.8817,0.1267,-0.8750
-0.8833,0.1225,-0.8671
-0.8849,0.1182,-0.8591
-0.8865,0.1138,-0.8510
-0.8881,0.1095,-0.8428
-0.8897,0.1050,-0.8346
-0.8913,0.1005,-0.8262
-0.8928,0.0960,-0.8178
-0.8944,0.0914,-0.8092
-0.8960,0.0867,-0.8006
-0.8975,0.0819,-0.7918
-0.8991,0.0771,-0.7830
-0.9006,0.0723,-0.7740
-0.9021,0.0673,-0.7649
-0.9037,0.0623,-0.7557
-0.9052,0.0572,-0.7464
-0.9067,0.0520,-0.7369
-0.9082,0.0468,-0.7273
-0.9097,0.0414,-0.7176
-0.9112,0.0360,-0.7077
-0.9127,0.0307,-0.6979
-0.9141,0.0261,-0.6892
-0.9154,0.0223,-0.6815
-0.9166,0.0192,-0.6746
-0.9178,0.0167,-0.6684
-0.9189,0.0147,-0.6630
-0.9199,0.0131,-0.6582
-0.9209,0.0120,-0.6539
