tr2,cr2,fr2
-0.621,0.486,-1.586
-0.624,0.485,-1.583
-0.626,0.483,-1.580
-0.629,0.482,-1.577
-0.631,0.481,-1.574
-0.633,0.479,-1.571
-0.636,0.478,-1.568
-0.638,0.477,-1.565
-0.640,0.475,-1.562
-0.643,0.474,-1.558
-0.645,0.473,-1.555
-0.648,0.471,-1.552
-0.650,0.470,-1.549
-0.652,0.468,-1.546
-0.655,0.467,-1.542
-0.657,0.465,-1.539
-0.659,0.464,-1.536
-0.662,0.463,-1.533
-0.664,0.461,-1.529
-0.666,0.460,-1.526
-0.668,0.458,-1.523
-0.671,0.457,-1.519
-0.673,0.455,-1.516
-0.675,0.454,-1.513
-0.677,0.452,-1.509
-0.680,0.451,-1.506
-0.682,0.449,-1.502
-0.684,0.448,-1.499
-0.686,0.446,-1.496
-0.689,0.444,-1.492
-0.691,0.443,-1.489
-0.693,0.441,-1.485
-0.695,0.440,-1.481
-0.697,0.438,-1.478
-0.699,0.436,-1.474
-0.702,0.435,-1.471
-0.704,0.433,-1.467
-0.706,0.431,-1.464
-0.708,0.430,-1.460
-0.710,0.428,-1.457
-0.712,0.427,-1.453
-0.715,0.425,-1.449
-0.717,0.423,-1.446
-0.719,0.421,-1.442
-0.721,0.420,-1.438
-0.723,0.418,-1.434
-0.725,0.416,-1.431
-0.727,0.415,-1.427
-0.729,0.413,-1.423
-0.731,0.411,-1.419
-0.733,0.409,-1.415
-0.735,0.407,-1.412
-0.737,0.406,-1.408
-0.739,0.404,-1.404
-0.741,0.402,-1.400
-0.743,0.400,-1.396
-0.745,0.398,-1.392
-0.747,0.396,-1.388
-0.749,0.394,-1.384
-0.751,0.392,-1.380
-0.753,0.390,-1.376
-0.755,0.388,-1.371
-0.757,0.386,-1.367
-0.759,0.385,-1.363
-0.761,0.383,-1.359
-0.763,0.381,-1.355
-0.765,0.379,-1.351
-0.767,0.376,-1.346
-0.769,0.374,-1.342
-0.770,0.372,-1.338
-0.772,0.370,-1.334
-0.774,0.368,-1.329
-0.776,0.366,-1.325
-0.778,0.364,-1.321
-0.780,0.362,-1.316
-0.782,0.360,-1.312
-0.784,0.358,-1.308
-0.785,0.356,-1.303
-0.787,0.353,-1.299
-0.789,0.351,-1.294
-0.791,0.349,-1.290
-0.793,0.347,-1.285
-0.795,0.345,-1.281
-0.796,0.342,-1.276
-0.798,0.340,-1.272
-0.800,0.338,-1.267
-0.802,0.336,-1.262
-0.804,0.333,-1.258
-0.805,0.331,-1.253
-0.807,0.329,-1.248
-0.809,0.326,-1.244
-0.811,0.324,-1.239
-0.812,0.322,-1.234
-0.814,0.319,-1.229
-0.816,0.317,-1.224
-0.818,0.315,-1.220
-0.819,0.312,-1.215
-0.821,0.310,-1.210
-0.823,0.307,-1.205
-0.824,0.305,-1.200
-0.826,0.302,-1.195
-0.828,0.300,-1.190
-0.829,0.297,-1.185
-0.831,0.295,-1.180
-0.833,0.292,-1.175
-0.834,0.289,-1.170
-0.836,0.287,-1.164
-0.838,0.284,-1.159
-0.839,0.282,-1.154
-0.841,0.279,-1.149
-0.843,0.276,-1.144
-0.844,0.274,-1.138
-0.846,0.271,-1.133
-0.848,0.268,-1.128
-0.849,0.265,-1.122
-0.851,0.263,-1.117
-0.852,0.260,-1.111
-0.854,0.257,-1.106
-0.856,0.254,-1.100
-0.857,0.251,-1.095
-0.859,0.248,-1.089
-0.860,0.246,-1.083
-0.862,0.243,-1.078
-0.863,0.240,-1.072
-0.865,0.237,-1.066
-0.866,0.234,-1.060
-0.868,0.231,-1.055
-0.870,0.228,-1.049
-0.871,0.225,-1.043
