tr,cr,fr,z
-0.225,0.611,-1.533,0.069
-0.222,0.614,-1.536,0.069
-0.219,0.617,-1.539,0.070
-0.216,0.621,-1.541,0.070
-0.213,0.624,-1.544,0.071
-0.210,0.627,-1.547,0.071
-0.208,0.630,-1.549,0.071
-0.205,0.633,-1.552,0.072
-0.202,0.637,-1.554,0.072
-0.199,0.640,-1.557,0.072
-0.196,0.643,-1.559,0.073
-0.193,0.646,-1.561,0.073
-0.190,0.649,-1.564,0.073
-0.187,0.652,-1.566,0.074
-0.184,0.655,-1.568,0.074
-0.181,0.658,-1.571,0.074
-0.178,0.661,-1.573,0.074
-0.175,0.664,-1.575,0.075
-0.172,0.666,-1.577,0.075
-0.169,0.669,-1.579,0.075
-0.166,0.672,-1.581,0.076
-0.163,0.674,-1.583,0.076
-0.160,0.677,-1.585,0.076
-0.157,0.680,-1.587,0.076
-0.154,0.682,-1.589,0.077
-0.151,0.685,-1.591,0.077
-0.148,0.687,-1.593,0.077
-0.144,0.689,-1.594,0.078
-0.141,0.692,-1.596,0.078
-0.138,0.694,-1.598,0.078
-0.135,0.697,-1.600,0.078
-0.132,0.699,-1.601,0.079
-0.129,0.701,-1.603,0.079
-0.125,0.703,-1.605,0.079
-0.122,0.706,-1.606,0.079
-0.119,0.708,-1.608,0.079
-0.116,0.710,-1.609,0.080
-0.113,0.711,-1.611,0.080
-0.109,0.713,-1.612,0.080
-0.106,0.715,-1.613,0.080
-0.103,0.716,-1.614,0.080
-0.099,0.718,-1.615,0.081
-0.096,0.719,-1.617,0.081
-0.093,0.720,-1.618,0.081
-0.089,0.721,-1.618,0.081
-0.086,0.722,-1.619,0.081
-0.083,0.722,-1.620,0.081
-0.079,0.723,-1.620,0.081
-0.076,0.723,-1.621,0.081
-0.073,0.723,-1.621,0.081
-0.070,0.722,-1.621,0.081
-0.066,0.722,-1.622,0.081
-0.063,0.721,-1.622,0.081
-0.060,0.721,-1.622,0.080
-0.057,0.720,-1.622,0.080
-0.053,0.719,-1.622,0.080
-0.050,0.718,-1.622,0.080
-0.047,0.717,-1.622,0.080
-0.043,0.716,-1.621,0.080
-0.040,0.715,-1.621,0.079
-0.037,0.714,-1.621,0.079
-0.034,0.712,-1.620,0.079
-0.031,0.711,-1.620,0.079
-0.027,0.710,-1.620,0.079
-0.024,0.708,-1.619,0.078
-0.021,0.707,-1.619,0.078
-0.018,0.705,-1.618,0.078
-0.014,0.703,-1.617,0.078
-0.011,0.702,-1.617,0.078
-0.008,0.700,-1.616,0.077
-0.005,0.698,-1.615,0.077
-0.002,0.696,-1.614,0.077
0.001,0.693,-1.613,0.076
0.004,0.691,-1.612,0.076
0.007,0.689,-1.611,0.076
0.011,0.687,-1.610,0.076
0.014,0.684,-1.609,0.075
0.017,0.682,-1.608,0.075
0.020,0.680,-1.607,0.075
0.023,0.677,-1.606,0.074
0.026,0.675,-1.604,0.074
0.029,0.672,-1.603,0.074
0.032,0.670,-1.602,0.073
0.035,0.667,-1.600,0.073
0.038,0.664,-1.599,0.073
0.041,0.662,-1.598,0.072
0.044,0.659,-1.596,0.072
0.047,0.656,-1.595,0.072
0.050,0.654,-1.593,0.071
0.053,0.651,-1.592,0.071
0.056,0.648,-1.590,0.071
0.059,0.646,-1.589,0.070
0.062,0.643,-1.587,0.070
0.065,0.640,-1.586,0.070
0.068,0.638,-1.584,0.069
0.071,0.635,-1.582,0.069
0.074,0.633,-1.581,0.069
0.077,0.630,-1.579,0.068
0.080,0.627,-1.577,0.068
0.083,0.625,-1.576,0.068
0.086,0.622,-1.574,0.067
0.089,0.620,-1.572,0.067
0.093,0.617,-1.571,0.067
0.096,0.615,-1.569,0.067
0.099,0.612,-1.567,0.066
0.102,0.610,-1.565,0.066
0.105,0.607,-1.564,0.066
