TR0,CR0,FR0
0.6597,0.3845,-1.6395
0.6570,0.3854,-1.6426
0.6543,0.3863,-1.6457
0.6516,0.3872,-1.6488
0.6489,0.3881,-1.6519
0.6462,0.3889,-1.6550
0.6435,0.3898,-1.6580
0.6407,0.3906,-1.6611
0.6379,0.3914,-1.6641
0.6351,0.3923,-1.6671
0.6323,0.3931,-1.6701
0.6295,0.3939,-1.6731
0.6267,0.3947,-1.6761
0.6239,0.3955,-1.6790
0.6210,0.3963,-1.6819
0.6182,0.3971,-1.6849
0.6153,0.3978,-1.6878
0.6124,0.3986,-1.6906
0.6095,0.3994,-1.6935
0.6066,0.4001,-1.6964
0.6037,0.4008,-1.6992
0.6007,0.4016,-1.7020
0.5978,0.4023,-1.7048
0.5948,0.4030,-1.7076
0.5918,0.4037,-1.7104
0.5888,0.4044,-1.7131
0.5858,0.4051,-1.7159
0.5828,0.4058,-1.7186
0.5798,0.4064,-1.7213
0.5768,0.4071,-1.7240
0.5737,0.4078,-1.7266
0.5707,0.4084,-1.7293
0.5676,0.4090,-1.7319
0.5645,0.4097,-1.7345
0.5614,0.4103,-1.7371
0.5583,0.4109,-1.7397
0.5552,0.4115,-1.7423
0.5521,0.4121,-1.7448
0.5489,0.4127,-1.7474
0.5457,0.4133,-1.7499
0.5426,0.4139,-1.7524
0.5394,0.4145,-1.7549
0.5362,0.4150,-1.7573
0.5330,0.4156,-1.7598
0.5298,0.4161,-1.7622
0.5265,0.4167,-1.7646
0.5233,0.4172,-1.7670
0.5200,0.4177,-1.7694
0.5168,0.4183,-1.7718
0.5135,0.4188,-1.7741
0.5103,0.4193,-1.7765
0.5070,0.4199,-1.7789
0.5037,0.4204,-1.7813
0.5005,0.4209,-1.7836
0.4972,0.4214,-1.7859
0.4938,0.4218,-1.7881
0.4904,0.4223,-1.7904
0.4871,0.4228,-1.7927
0.4837,0.4233,-1.7949
0.4804,0.4237,-1.7971
0.4770,0.4242,-1.7993
0.4736,0.4246,-1.8015
0.4702,0.4251,-1.8036
0.4667,0.4255,-1.8057
0.4633,0.4259,-1.8078
0.4598,0.4263,-1.8099
0.4563,0.4267,-1.8120
0.4528,0.4271,-1.8140
0.4492,0.4274,-1.8159
0.4457,0.4278,-1.8179
0.4421,0.4282,-1.8198
0.4385,0.4285,-1.8217
0.4349,0.4289,-1.8236
0.4313,0.4292,-1.8255
0.4277,0.4296,-1.8274
0.4241,0.4299,-1.8292
0.4205,0.4302,-1.8311
0.4169,0.4305,-1.8329
0.4132,0.4309,-1.8347
0.4096,0.4312,-1.8366
0.4059,0.4315,-1.8383
0.4022,0.4318,-1.8401
0.3985,0.4321,-1.8419
0.3948,0.4324,-1.8436
0.3911,0.4327,-1.8453
0.3874,0.4330,-1.8470
0.3837,0.4333,-1.8487
0.3800,0.4335,-1.8504
0.3762,0.4338,-1.8521
0.3725,0.4341,-1.8537
0.3687,0.4343,-1.8553
0.3649,0.4346,-1.8569
0.3611,0.4349,-1.8585
0.3573,0.4351,-1.8601
0.3535,0.4354,-1.8617
0.3497,0.4356,-1.8632
0.3459,0.4358,-1.8647
0.3420,0.4361,-1.8662
0.3382,0.4363,-1.8677
0.3343,0.4365,-1.8692
0.3304,0.4367,-1.8706
0.3265,0.4369,-1.8721
0.3226,0.4372,-1.8735
0.3187,0.4374,-1.8749
0.3148,0.4376,-1.8763
0.3109,0.4378,-1.8776
0.3070,0.4380,-1.8790
0.3030,0.4381,-1.8803
0.2991,0.4383,-1.8816
0.2951,0.4385,-1.8829
0.2911,0.4387,-1.8842
0.2872,0.4389,-1.8854
0.2832,0.4390,-1.8867
0.2792,0.4392,-1.8879
0.2752,0.4394,-1.8891
0.2711,0.4395,-1.8903
0.2671,0.4397,-1.8914
0.2631,0.4398,-1.8926
0.2590,0.4400,-1.8937
0.2550,0.4401,-1.8948
0.2509,0.4403,-1.8959
0.2468,0.4404,-1.8970
0.2428,0.4405,-1.8980
0.2387,0.4407,-1.8991
0.2346,0.4408,-1.9001
0.2305,0.4409,-1.9011
0.2264,0.4410,-1.9021
0.2222,0.4411,-1.9031
0.2181,0.4413,-1.9040
0.2140,0.4414,-1.9049
0.2098,0.4415,-1.9058
0.2057,0.4416,-1.9067
0.2015,0.4417,-1.9076
0.1974,0.4418,-1.9085
0.1932,0.4419,-1.9093
0.1890,0.4420,-1.9101
0.1848,0.4421,-1.9109
0.1807,0.4421,-1.9117
0.1765,0.4422,-1.9125
0.1723,0.4423,-1.9132
0.1680,0.4424,-1.9139
0.1638,0.4425,-1.9147
0.1596,0.4425,-1.9153
0.1554,0.4426,-1.9160
0.1512,0.4427,-1.9167
0.1469,0.4427,-1.9173
0.1427,0.4428,-1.9179
0.1384,0.4429,-1.9185
0.1342,0.4429,-1.9191
0.1299,0.4430,-1.9197
0.1256,0.4430,-1.9202
0.1214,0.4431,-1.9207
0.1171,0.4431,-1.9212
0.1128,0.4432,-1.9217
0.1093,0.4432,-1.9222
0.1065,0.4432,-1.9225
0.1042,0.4434,-1.9229
0.1021,0.4441,-1.9235
0.1000,0.4451,-1.9245
0.0979,0.4466,-1.9256
0.0960,0.4484,-1.9270
0.0941,0.4505,-1.9285
0.0922,0.4529,-1.9302
0.0905,0.4555,-1.9320
0.0887,0.4584,-1.9340
0.0870,0.4614,-1.9361
0.0853,0.4647,-1.9382
0.0837,0.4681,-1.9405
