tr2,cr2,fr2
0.5383,-0.0346,-0.8185
0.5382,-0.0419,-0.8112
0.5381,-0.0492,-0.8037
0.5380,-0.0567,-0.7961
0.5380,-0.0641,-0.7883
0.5383,-0.0711,-0.7805
0.5389,-0.0779,-0.7727
0.5393,-0.0841,-0.7654
0.5393,-0.0892,-0.7597
0.5390,-0.0935,-0.7554
0.5385,-0.0970,-0.7523
0.5377,-0.0997,-0.7502
0.5367,-0.1018,-0.7491
0.5355,-0.1034,-0.7489
0.5341,-0.1044,-0.7494
0.5325,-0.1050,-0.7506
0.5308,-0.1052,-0.7524
0.5290,-0.1050,-0.7547
0.5270,-0.1045,-0.7574
0.5249,-0.1038,-0.7606
0.5227,-0.1028,-0.7641
0.5204,-0.1016,-0.7679
0.5181,-0.1002,-0.7720
0.5156,-0.0987,-0.7763
0.5131,-0.0970,-0.7808
0.5106,-0.0952,-0.7855
0.5079,-0.0932,-0.7904
0.5053,-0.0912,-0.7953
0.5025,-0.0891,-0.8004
0.4997,-0.0870,-0.8056
0.4969,-0.0848,-0.8108
0.4941,-0.0825,-0.8161
0.4912,-0.0802,-0.8214
0.4882,-0.0779,-0.8268
0.4853,-0.0756,-0.8321
0.4823,-0.0732,-0.8375
0.4793,-0.0708,-0.8429
0.4762,-0.0685,-0.8483
0.4731,-0.0661,-0.8537
0.4701,-0.0637,-0.8590
0.4669,-0.0613,-0.8644
0.4638,-0.0590,-0.8697
0.4607,-0.0566,-0.8750
0.4575,-0.0543,-0.8802
0.4543,-0.0519,-0.8855
0.4511,-0.0496,-0.8906
0.4479,-0.0473,-0.8958
0.4446,-0.0451,-0.9009
0.4414,-0.0428,-0.9059
0.4381,-0.0406,-0.9109
0.4348,-0.0384,-0.9159
0.4315,-0.0362,-0.9208
0.4282,-0.0340,-0.9257
0.4249,-0.0319,-0.9305
0.4216,-0.0298,-0.9352
0.4182,-0.0277,-0.9400
0.4149,-0.0256,-0.9446
0.4115,-0.0236,-0.9492
0.4081,-0.0216,-0.9538
0.4047,-0.0196,-0.9583
0.4013,-0.0177,-0.9627
0.3979,-0.0157,-0.9671
0.3945,-0.0138,-0.9715
0.3910,-0.0120,-0.9758
0.3876,-0.0101,-0.9800
0.3841,-0.0083,-0.9842
0.3806,-0.0065,-0.9884
0.3772,-0.0047,-0.9925
0.3737,-0.0030,-0.9965
0.3702,-0.0012,-1.0005
0.3667,0.0005,-1.0044
0.3631,0.0021,-1.0083
0.3596,0.0038,-1.0121
0.3561,0.0054,-1.0159
0.3525,0.0070,-1.0197
0.3490,0.0086,-1.0233
0.3454,0.0101,-1.0270
0.3418,0.0117,-1.0306
0.3382,0.0132,-1.0341
0.3346,0.0147,-1.0376
0.3310,0.0161,-1.0411
0.3274,0.0176,-1.0445
0.3238,0.0190,-1.0478
0.3201,0.0204,-1.0511
0.3165,0.0217,-1.0544
0.3129,0.0231,-1.0576
0.3092,0.0244,-1.0608
0.3055,0.0257,-1.0639
0.3018,0.0270,-1.0669
0.2982,0.0283,-1.0700
0.2945,0.0295,-1.0730
0.2908,0.0307,-1.0759
0.2871,0.0319,-1.0788
0.2833,0.0331,-1.0816
0.2796,0.0343,-1.0844
0.2759,0.0354,-1.0872
0.2721,0.0365,-1.0899
0.2684,0.0376,-1.0926
0.2646,0.0387,-1.0952
0.2609,0.0398,-1.0978
0.2571,0.0408,-1.1004
0.2533,0.0418,-1.1029
0.2495,0.0428,-1.1053
0.2457,0.0438,-1.1077
0.2419,0.0448,-1.1101
0.2381,0.0457,-1.1125
0.2343,0.0466,-1.1147
0.2305,0.0475,-1.1170
0.2266,0.0484,-1.1192
0.2228,0.0493,-1.1214
0.2189,0.0502,-1.1235
0.2151,0.0510,-1.1256
0.2112,0.0518,-1.1276
0.2074,0.0526,-1.1296
0.2035,0.0534,-1.1316
0.1996,0.0542,-1.1335
0.1957,0.0549,-1.1354
0.1919,0.0557,-1.1373
0.1880,0.0564,-1.1391
0.1841,0.0571,-1.1408
0.1802,0.0578,-1.1425
0.1762,0.0584,-1.1442
0.1723,0.0591,-1.1459
0.1684,0.0597,-1.1475
0.1645,0.0603,-1.1490
0.1605,0.0609,-1.1506
0.1566,0.0615,-1.1521
0.1527,0.0621,-1.1535
0.1487,0.0626,-1.1549
0.1451,0.0631,-1.1562
0.1422,0.0635,-1.1573
0.1400,0.0639,-1.1581
0.1377,0.0642,-1.1589
0.1353,0.0645,-1.1598
0.1327,0.0649,-1.1607
0.1299,0.0653,-1.1617
0.1271,0.0657,-1.1626
0.1241,0.0660,-1.1636
0.1210,0.0664,-1.1646
0.1178,0.0668,-1.1656
0.1146,0.0672,-1.1665
0.1112,0.0675,-1.1675
0.1085,0.0678,-1.1682
0.1060,0.0681,-1.1689
0.1033,0.0684,-1.1696
0.1005,0.0686,-1.1703
0.0975,0.0689,-1.1710
0.0945,0.0692,-1.1717
0.0913,0.0694,-1.1724
0.0881,0.0697,-1.1731
0.0848,0.0699,-1.1736
0.0814,0.0701,-1.1742
0.0779,0.0703,-1.1747
0.0744,0.0705,-1.1752
0.0709,0.0707,-1.1757
0.0672,0.0709,-1.1762
0.0636,0.0711,-1.1767
0.0599,0.0712,-1.1771
0.0562,0.0714,-1.1775
0.0524,0.0715,-1.1779
0.0486,0.0717,-1.1783
0.0448,0.0718,-1.1787
0.0410,0.0719,-1.1790
0.0371,0.0720,-1.1793
0.0332,0.0721,-1.1795
0.0293,0.0722,-1.1797
0.0254,0.0722,-1.1799
0.0215,0.0723,-1.1801
0.0176,0.0723,-1.1802
0.0136,0.0724,-1.1803
0.0097,0.0724,-1.1804
0.0057,0.0724,-1.1804
0.0017,0.0724,-1.1804
-0.0022,0.0724,-1.1804
-0.0062,0.0723,-1.1803
-0.0102,0.0723,-1.1802
-0.0142,0.0722,-1.1801
-0.0182,0.0722,-1.1799
-0.0222,0.0721,-1.1797
-0.0262,0.0720,-1.1794
-0.0302,0.0718,-1.1792
-0.0342,0.0717,-1.1788
-0.0382,0.0716,-1.1785
-0.0422,0.0714,-1.1781
-0.0463,0.0712,-1.1777
-0.0503,0.0710,-1.1772
-0.0543,0.0708,-1.1767
-0.0583,0.0706,-1.1762
-0.0623,0.0704,-1.1756
-0.0663,0.0701,-1.1750
-0.0701,0.0699,-1.1744
-0.0732,0.0697,-1.1739
-0.0755,0.0696,-1.1736
-0.0772,0.0695,-1.1734
-0.0788,0.0695,-1.1733
-0.0805,0.0694,-1.1730
-0.0825,0.0692,-1.1727
-0.0847,0.0691,-1.1723
-0.0871,0.0689,-1.1719
-0.0896,0.0687,-1.1714
-0.0923,0.0685,-1.1708
-0.0951,0.0682,-1.1702
-0.0980,0.0680,-1.1695
-0.1005,0.0677,-1.1690
-0.1027,0.0675,-1.1685
-0.1051,0.0673,-1.1679
-0.1076,0.0671,-1.1673
-0.1103,0.0668,-1.1666
-0.1131,0.0665,-1.1659
-0.1160,0.0662,-1.1650
-0.1190,0.0658,-1.1642
-0.1221,0.0654,-1.1633
-0.1253,0.0651,-1.1623
-0.1286,0.0646,-1.1613
-0.1320,0.0642,-1.1602
-0.1354,0.0638,-1.1591
-0.1388,0.0633,-1.1579
-0.1423,0.0628,-1.1567
-0.1459,0.0623,-1.1554
-0.1495,0.0618,-1.1541
-0.1531,0.0612,-1.1528
-0.1567,0.0607,-1.1514
-0.1604,0.0601,-1.1499
-0.1641,0.0595,-1.1484
-0.1678,0.0589,-1.1469
-0.1715,0.0583,-1.1453
-0.1753,0.0576,-1.1437
-0.1790,0.0569,-1.1421
-0.1828,0.0563,-1.1404
-0.1865,0.0555,-1.1386
-0.1903,0.0548,-1.1368
-0.1941,0.0541,-1.1350
-0.1979,0.0533,-1.1332
-0.2017,0.0526,-1.1313
-0.2055,0.0518,-1.1293
-0.2093,0.0510,-1.1273
-0.2131,0.0501,-1.1253
-0.2169,0.0493,-1.1232
-0.2207,0.0484,-1.1211
-0.2245,0.0476,-1.1192
-0.2284,0.0468,-1.1171
-0.2322,0.0460,-1.1151
-0.2360,0.0451,-1.1129
-0.2398,0.0441,-1.1105
-0.2436,0.0432,-1.1083
-0.2474,0.0423,-1.1060
-0.2512,0.0413,-1.1037
-0.2550,0.0404,-1.1013
-0.2587,0.0393,-1.0989
-0.2625,0.0383,-1.0964
-0.2663,0.0373,-1.0939
-0.2700,0.0362,-1.0913
-0.2738,0.0351,-1.0886
-0.2775,0.0340,-1.0860
-0.2813,0.0329,-1.0832
-0.2850,0.0316,-1.0802
-0.2887,0.0303,-1.0772
-0.2923,0.0290,-1.0741
-0.2954,0.0280,-1.0716
-0.2982,0.0270,-1.0692
-0.3011,0.0260,-1.0668
-0.3041,0.0249,-1.0643
-0.3072,0.0238,-1.0616
-0.3103,0.0226,-1.0589
-0.3134,0.0215,-1.0561
-0.3166,0.0202,-1.0532
-0.3198,0.0190,-1.0503
-0.3231,0.0177,-1.0472
-0.3264,0.0164,-1.0441
-0.3297,0.0150,-1.0410
-0.3330,0.0136,-1.0377
-0.3364,0.0122,-1.0344
-0.3398,0.0108,-1.0311
-0.3432,0.0093,-1.0276
-0.3466,0.0078,-1.0241
