TR1,CR1,FR1
0.2102,0.0069,-1.0970
0.2063,0.0077,-1.0990
0.2024,0.0084,-1.1009
0.1985,0.0092,-1.1029
0.1945,0.0099,-1.1048
0.1906,0.0106,-1.1066
0.1867,0.0113,-1.1084
0.1827,0.0120,-1.1101
0.1788,0.0127,-1.1119
0.1749,0.0133,-1.1135
0.1709,0.0140,-1.1152
0.1669,0.0146,-1.1168
0.1630,0.0152,-1.1183
0.1590,0.0158,-1.1199
0.1550,0.0164,-1.1213
0.1514,0.0169,-1.1227
0.1484,0.0173,-1.1238
0.1462,0.0177,-1.1247
0.1439,0.0180,-1.1256
0.1415,0.0183,-1.1265
0.1388,0.0187,-1.1274
0.1361,0.0190,-1.1283
0.1332,0.0194,-1.1293
0.1302,0.0198,-1.1302
0.1271,0.0201,-1.1311
0.1239,0.0205,-1.1321
0.1206,0.0208,-1.1330
0.1172,0.0212,-1.1339
0.1145,0.0215,-1.1347
0.1119,0.0217,-1.1354
0.1092,0.0220,-1.1361
0.1064,0.0223,-1.1368
0.1034,0.0225,-1.1375
0.1004,0.0228,-1.1382
0.0972,0.0231,-1.1389
0.0939,0.0233,-1.1396
0.0906,0.0236,-1.1403
0.0872,0.0238,-1.1410
0.0837,0.0241,-1.1416
0.0802,0.0243,-1.1422
0.0766,0.0246,-1.1430
0.0730,0.0249,-1.1437
0.0693,0.0251,-1.1444
0.0656,0.0254,-1.1451
0.0618,0.0256,-1.1457
0.0580,0.0258,-1.1462
0.0542,0.0260,-1.1468
0.0504,0.0262,-1.1473
0.0465,0.0264,-1.1478
0.0426,0.0265,-1.1482
0.0387,0.0267,-1.1486
0.0348,0.0268,-1.1489
0.0308,0.0269,-1.1493
0.0269,0.0270,-1.1495
0.0229,0.0270,-1.1496
0.0189,0.0270,-1.1496
0.0149,0.0270,-1.1497
0.0109,0.0270,-1.1496
0.0069,0.0270,-1.1496
0.0029,0.0270,-1.1496
-0.0011,0.0269,-1.1495
-0.0051,0.0269,-1.1494
-0.0092,0.0268,-1.1492
-0.0132,0.0267,-1.1490
-0.0172,0.0267,-1.1488
-0.0213,0.0266,-1.1486
-0.0253,0.0264,-1.1483
