tr,cr,fr,z
0.270,0.924,-1.928,0.055
0.273,0.929,-1.928,0.055
0.276,0.933,-1.929,0.056
0.279,0.938,-1.929,0.056
0.282,0.942,-1.929,0.057
0.285,0.946,-1.930,0.057
0.288,0.951,-1.930,0.058
0.291,0.955,-1.930,0.058
0.294,0.959,-1.930,0.058
0.297,0.963,-1.930,0.059
0.300,0.967,-1.930,0.059
0.303,0.972,-1.930,0.060
0.307,0.976,-1.930,0.060
0.310,0.980,-1.930,0.061
0.313,0.983,-1.929,0.061
0.316,0.987,-1.929,0.061
0.319,0.991,-1.929,0.062
0.322,0.995,-1.928,0.062
0.325,0.999,-1.928,0.063
0.328,1.003,-1.928,0.063
0.331,1.006,-1.927,0.063
0.334,1.010,-1.927,0.064
0.337,1.014,-1.926,0.064
0.340,1.017,-1.925,0.065
0.343,1.021,-1.925,0.065
0.346,1.025,-1.924,0.066
0.349,1.028,-1.923,0.066
0.352,1.032,-1.923,0.066
0.355,1.035,-1.922,0.067
0.358,1.038,-1.921,0.067
0.361,1.042,-1.920,0.068
0.364,1.045,-1.919,0.068
0.367,1.048,-1.918,0.068
0.370,1.052,-1.917,0.069
0.373,1.055,-1.916,0.069
0.376,1.058,-1.915,0.070
0.379,1.061,-1.913,0.070
0.382,1.064,-1.912,0.071
0.385,1.067,-1.911,0.071
0.388,1.069,-1.909,0.071
0.391,1.072,-1.908,0.072
0.394,1.075,-1.906,0.072
0.397,1.078,-1.905,0.073
0.400,1.080,-1.903,0.073
0.403,1.083,-1.902,0.073
0.406,1.085,-1.900,0.074
0.409,1.088,-1.898,0.074
0.412,1.090,-1.896,0.075
0.415,1.093,-1.895,0.075
0.418,1.095,-1.893,0.075
0.421,1.097,-1.891,0.076
0.424,1.100,-1.889,0.076
0.427,1.102,-1.887,0.076
0.430,1.104,-1.885,0.077
0.433,1.106,-1.883,0.077
0.436,1.108,-1.881,0.078
0.439,1.110,-1.879,0.078
0.442,1.112,-1.876,0.078
0.445,1.114,-1.874,0.079
0.448,1.116,-1.872,0.079
0.451,1.118,-1.870,0.080
0.454,1.120,-1.867,0.080
0.457,1.122,-1.865,0.080
0.460,1.123,-1.862,0.081
0.463,1.125,-1.860,0.081
0.466,1.127,-1.857,0.082
0.469,1.128,-1.855,0.082
0.472,1.130,-1.852,0.082
0.475,1.131,-1.849,0.083
0.478,1.132,-1.846,0.083
0.481,1.133,-1.843,0.083
0.484,1.133,-1.840,0.084
0.487,1.134,-1.837,0.084
0.490,1.134,-1.834,0.084
0.494,1.135,-1.831,0.085
0.497,1.135,-1.828,0.085
0.500,1.135,-1.824,0.085
0.503,1.135,-1.821,0.085
0.507,1.135,-1.817,0.086
0.510,1.135,-1.814,0.086
0.513,1.135,-1.810,0.086
0.516,1.135,-1.807,0.087
0.520,1.135,-1.803,0.087
0.523,1.134,-1.799,0.087
0.526,1.134,-1.795,0.087
0.530,1.133,-1.792,0.088
0.533,1.133,-1.788,0.088
0.536,1.132,-1.784,0.088
0.539,1.132,-1.780,0.088
0.543,1.131,-1.776,0.089
0.546,1.130,-1.772,0.089
