tr,cr,fr,z
-0.298,0.535,-1.774,0.001
-0.299,0.533,-1.772,0.001
-0.301,0.532,-1.771,0.001
-0.303,0.532,-1.770,0.001
-0.304,0.531,-1.769,0.001
-0.306,0.530,-1.768,0.001
-0.309,0.530,-1.767,0.001
-0.311,0.529,-1.766,0.001
-0.313,0.529,-1.764,0.000
-0.316,0.528,-1.763,0.000
-0.318,0.527,-1.762,0.000
-0.321,0.527,-1.761,0.000
-0.323,0.526,-1.760,0.000
-0.326,0.526,-1.758,0.000
-0.329,0.525,-1.757,0.000
-0.332,0.525,-1.756,0.000
-0.334,0.524,-1.754,0.000
-0.337,0.524,-1.753,0.000
-0.340,0.524,-1.752,0.000
-0.343,0.523,-1.750,0.000
-0.346,0.523,-1.749,0.000
-0.349,0.522,-1.748,0.000
-0.352,0.522,-1.746,0.000
-0.355,0.522,-1.745,0.000
-0.358,0.521,-1.743,0.000
-0.361,0.521,-1.742,0.000
-0.364,0.520,-1.740,0.000
-0.367,0.520,-1.739,0.000
-0.370,0.519,-1.737,0.000
-0.373,0.519,-1.736,0.000
-0.376,0.518,-1.734,0.000
-0.379,0.518,-1.733,0.000
-0.382,0.517,-1.731,0.000
-0.385,0.516,-1.729,0.000
-0.388,0.516,-1.728,0.000
-0.391,0.515,-1.726,0.000
-0.395,0.515,-1.724,0.000
-0.398,0.514,-1.722,0.000
-0.401,0.513,-1.721,0.000
-0.404,0.513,-1.719,0.000
-0.407,0.512,-1.717,0.000
-0.410,0.512,-1.715,0.000
-0.413,0.511,-1.713,0.000
-0.416,0.510,-1.711,0.000
-0.419,0.510,-1.710,0.000
-0.422,0.509,-1.708,0.000
-0.425,0.508,-1.706,0.001
-0.428,0.508,-1.704,0.001
-0.431,0.507,-1.702,0.001
-0.434,0.507,-1.701,0.001
-0.437,0.507,-1.699,0.001
-0.440,0.506,-1.697,0.001
-0.443,0.506,-1.695,0.001
-0.445,0.506,-1.694,0.001
-0.448,0.505,-1.692,0.001
-0.451,0.505,-1.690,0.001
