tr,cr,fr,z
-0.828,0.645,-1.339,0.072
-0.826,0.649,-1.345,0.072
-0.825,0.653,-1.350,0.072
-0.823,0.657,-1.355,0.072
-0.821,0.660,-1.360,0.073
-0.820,0.664,-1.365,0.073
-0.818,0.668,-1.370,0.073
-0.817,0.672,-1.375,0.073
-0.815,0.675,-1.380,0.073
-0.813,0.679,-1.385,0.074
-0.812,0.683,-1.390,0.074
-0.810,0.687,-1.395,0.074
-0.808,0.690,-1.400,0.074
-0.807,0.694,-1.405,0.074
-0.805,0.698,-1.410,0.075
-0.804,0.701,-1.415,0.075
-0.802,0.705,-1.420,0.075
-0.800,0.709,-1.424,0.075
-0.798,0.712,-1.429,0.075
-0.797,0.716,-1.434,0.075
-0.795,0.719,-1.439,0.076
-0.793,0.723,-1.443,0.076
-0.792,0.726,-1.448,0.076
-0.790,0.730,-1.453,0.076
-0.788,0.733,-1.458,0.076
-0.786,0.737,-1.462,0.076
-0.785,0.740,-1.467,0.077
-0.783,0.744,-1.472,0.077
-0.781,0.747,-1.476,0.077
-0.779,0.750,-1.481,0.077
-0.778,0.754,-1.485,0.077
-0.776,0.757,-1.490,0.077
-0.774,0.761,-1.494,0.078
-0.772,0.764,-1.499,0.078
-0.770,0.767,-1.503,0.078
-0.769,0.771,-1.508,0.078
-0.767,0.774,-1.512,0.078
-0.765,0.777,-1.517,0.078
-0.763,0.781,-1.521,0.078
-0.761,0.784,-1.526,0.079
-0.760,0.787,-1.530,0.079
-0.758,0.791,-1.534,0.079
-0.756,0.794,-1.539,0.079
-0.754,0.797,-1.543,0.079
-0.752,0.800,-1.547,0.079
-0.750,0.803,-1.552,0.079
-0.748,0.806,-1.556,0.080
-0.746,0.809,-1.560,0.080
-0.745,0.812,-1.564,0.080
-0.743,0.815,-1.569,0.080
-0.741,0.818,-1.573,0.080
-0.739,0.821,-1.577,0.080
-0.737,0.823,-1.581,0.080
-0.735,0.826,-1.585,0.080
-0.733,0.829,-1.589,0.080
-0.731,0.831,-1.593,0.080
-0.729,0.834,-1.597,0.080
-0.727,0.837,-1.601,0.080
-0.725,0.839,-1.605,0.080
-0.723,0.842,-1.609,0.080
-0.721,0.845,-1.613,0.080
-0.719,0.847,-1.617,0.080
-0.717,0.850,-1.621,0.080
-0.715,0.852,-1.625,0.080
-0.713,0.855,-1.628,0.080
-0.711,0.857,-1.632,0.080
-0.709,0.860,-1.636,0.080
-0.707,0.862,-1.640,0.080
-0.705,0.864,-1.644,0.080
-0.702,0.867,-1.648,0.081
-0.700,0.869,-1.651,0.081
-0.698,0.872,-1.655,0.081
-0.696,0.874,-1.659,0.081
-0.694,0.876,-1.663,0.081
-0.692,0.879,-1.666,0.081
-0.690,0.881,-1.670,0.081
-0.688,0.884,-1.674,0.081
-0.686,0.886,-1.677,0.081
-0.683,0.888,-1.681,0.081
-0.681,0.891,-1.685,0.081
-0.679,0.893,-1.688,0.081
-0.677,0.895,-1.692,0.081
-0.675,0.897,-1.695,0.081
-0.673,0.900,-1.699,0.081
-0.670,0.902,-1.702,0.081
-0.668,0.904,-1.706,0.081
-0.666,0.905,-1.709,0.081
-0.664,0.907,-1.712,0.080
-0.662,0.909,-1.716,0.080
-0.660,0.910,-1.719,0.080
-0.657,0.911,-1.722,0.080
-0.655,0.913,-1.725,0.080
-0.653,0.914,-1.728,0.080
-0.651,0.915,-1.731,0.080
-0.649,0.916,-1.734,0.080
-0.647,0.918,-1.737,0.079
-0.644,0.919,-1.740,0.079
-0.642,0.920,-1.743,0.079
-0.640,0.921,-1.745,0.079
-0.638,0.921,-1.748,0.079
-0.636,0.922,-1.751,0.078
-0.633,0.923,-1.754,0.078
-0.631,0.924,-1.757,0.078
-0.629,0.925,-1.759,0.078
-0.627,0.926,-1.762,0.078
-0.625,0.926,-1.765,0.077
-0.622,0.927,-1.767,0.077
-0.620,0.928,-1.770,0.077
-0.618,0.928,-1.773,0.077
-0.616,0.929,-1.775,0.077
-0.613,0.930,-1.778,0.076
-0.611,0.930,-1.780,0.076
-0.609,0.931,-1.783,0.076
-0.607,0.931,-1.786,0.076
-0.604,0.932,-1.788,0.076
-0.602,0.933,-1.791,0.075
-0.600,0.933,-1.793,0.075
-0.597,0.934,-1.796,0.075
-0.595,0.934,-1.798,0.075
-0.593,0.935,-1.800,0.075
-0.590,0.935,-1.803,0.074
-0.588,0.936,-1.805,0.074
-0.586,0.936,-1.808,0.074
-0.583,0.937,-1.810,0.074
-0.581,0.938,-1.813,0.074
-0.579,0.938,-1.815,0.073
-0.576,0.939,-1.818,0.073
-0.574,0.939,-1.820,0.073
-0.571,0.940,-1.822,0.073
-0.569,0.940,-1.825,0.073
-0.566,0.941,-1.827,0.072
-0.564,0.942,-1.830,0.072
-0.561,0.942,-1.832,0.072
-0.559,0.943,-1.834,0.072
-0.557,0.943,-1.837,0.072
-0.554,0.944,-1.839,0.071
-0.552,0.944,-1.841,0.071
-0.549,0.945,-1.844,0.071
-0.547,0.945,-1.846,0.071
-0.544,0.946,-1.848,0.071
-0.541,0.946,-1.850,0.071
-0.539,0.947,-1.853,0.070
-0.536,0.947,-1.855,0.070
-0.534,0.947,-1.857,0.070
-0.532,0.947,-1.859,0.070
-0.529,0.947,-1.861,0.069
-0.527,0.947,-1.862,0.069
-0.524,0.947,-1.864,0.069
-0.522,0.946,-1.866,0.069
-0.520,0.946,-1.867,0.068
-0.517,0.945,-1.869,0.068
-0.515,0.944,-1.870,0.068
-0.513,0.944,-1.872,0.067
-0.510,0.943,-1.873,0.067
-0.508,0.942,-1.875,0.067
-0.506,0.941,-1.876,0.066
-0.503,0.940,-1.877,0.066
-0.501,0.939,-1.879,0.066
-0.499,0.938,-1.880,0.065
-0.496,0.937,-1.881,0.065
-0.494,0.936,-1.882,0.065
-0.492,0.935,-1.883,0.064
-0.490,0.933,-1.885,0.064
-0.487,0.932,-1.886,0.063
-0.485,0.930,-1.887,0.063
-0.483,0.929,-1.887,0.063
-0.481,0.927,-1.888,0.062
-0.478,0.926,-1.889,0.062
-0.476,0.924,-1.890,0.061
-0.474,0.922,-1.891,0.061
-0.472,0.921,-1.891,0.061
-0.470,0.919,-1.892,0.060
-0.467,0.917,-1.893,0.060
-0.465,0.915,-1.893,0.059
-0.463,0.913,-1.894,0.059
-0.461,0.911,-1.895,0.058
-0.459,0.910,-1.895,0.058
-0.457,0.908,-1.896,0.058
-0.454,0.906,-1.896,0.057
-0.452,0.904,-1.897,0.057
-0.450,0.901,-1.897,0.056
-0.448,0.899,-1.898,0.056
-0.446,0.897,-1.898,0.055
-0.444,0.895,-1.898,0.055
-0.441,0.893,-1.899,0.054
-0.439,0.891,-1.899,0.054
-0.437,0.889,-1.899,0.054
-0.435,0.887,-1.900,0.053
-0.433,0.884,-1.900,0.053
-0.430,0.882,-1.900,0.052
-0.428,0.880,-1.900,0.052
-0.426,0.877,-1.900,0.051
-0.424,0.875,-1.900,0.051
-0.422,0.872,-1.901,0.050
-0.420,0.870,-1.901,0.050
-0.418,0.867,-1.901,0.049
-0.416,0.865,-1.900,0.049
-0.414,0.862,-1.900,0.048
-0.412,0.859,-1.900,0.048
-0.410,0.857,-1.900,0.047
-0.407,0.854,-1.900,0.047
-0.405,0.851,-1.900,0.046
-0.403,0.849,-1.899,0.046
-0.401,0.846,-1.899,0.045
-0.399,0.843,-1.899,0.045
-0.397,0.840,-1.899,0.044
-0.395,0.837,-1.898,0.044
-0.393,0.834,-1.898,0.043
-0.391,0.832,-1.898,0.043
-0.389,0.829,-1.897,0.042
-0.387,0.826,-1.897,0.042
-0.385,0.823,-1.896,0.041
-0.383,0.820,-1.896,0.041
-0.381,0.817,-1.895,0.040
-0.379,0.814,-1.895,0.040
-0.377,0.811,-1.894,0.039
-0.375,0.808,-1.894,0.039
-0.373,0.805,-1.893,0.038
-0.371,0.802,-1.893,0.038
-0.369,0.799,-1.892,0.037
-0.367,0.796,-1.891,0.037
-0.364,0.793,-1.891,0.036
-0.362,0.790,-1.890,0.036
-0.360,0.787,-1.890,0.035
-0.358,0.784,-1.889,0.035
-0.356,0.780,-1.888,0.034
-0.354,0.777,-1.887,0.034
-0.352,0.774,-1.887,0.033
-0.350,0.771,-1.886,0.033
-0.348,0.768,-1.885,0.032
-0.346,0.765,-1.884,0.032
-0.344,0.762,-1.884,0.031
-0.342,0.758,-1.883,0.031
-0.339,0.755,-1.882,0.030
-0.337,0.752,-1.881,0.030
-0.335,0.749,-1.880,0.029
-0.333,0.746,-1.879,0.029
-0.331,0.742,-1.878,0.028
-0.329,0.739,-1.877,0.028
-0.327,0.735,-1.876,0.027
-0.325,0.732,-1.875,0.026
-0.323,0.728,-1.874,0.026
-0.321,0.725,-1.872,0.025
-0.320,0.721,-1.871,0.025
-0.318,0.718,-1.870,0.024
-0.316,0.714,-1.868,0.024
-0.314,0.710,-1.867,0.023
-0.312,0.707,-1.866,0.023
-0.310,0.703,-1.864,0.022
-0.308,0.699,-1.863,0.022
-0.307,0.695,-1.861,0.021
-0.305,0.691,-1.860,0.020
-0.304,0.687,-1.858,0.020
-0.302,0.683,-1.856,0.019
-0.301,0.679,-1.854,0.019
-0.299,0.675,-1.852,0.018
-0.298,0.671,-1.850,0.017
-0.297,0.666,-1.848,0.017
-0.296,0.662,-1.846,0.016
-0.295,0.657,-1.843,0.015
-0.295,0.653,-1.841,0.015
-0.294,0.648,-1.838,0.014
-0.293,0.644,-1.836,0.014
-0.293,0.639,-1.833,0.013
-0.292,0.634,-1.831,0.012
-0.292,0.630,-1.828,0.012
-0.291,0.625,-1.825,0.011
-0.291,0.620,-1.823,0.010
-0.290,0.615,-1.820,0.010
-0.290,0.610,-1.817,0.009
-0.290,0.606,-1.814,0.008
-0.289,0.601,-1.811,0.008
-0.289,0.596,-1.808,0.007
-0.288,0.592,-1.806,0.006
-0.288,0.588,-1.804,0.006
-0.287,0.584,-1.801,0.005
-0.286,0.579,-1.799,0.005
-0.286,0.575,-1.796,0.004
-0.286,0.571,-1.794,0.003
-0.286,0.568,-1.792,0.003
-0.285,0.566,-1.791,0.003
-0.285,0.564,-1.789,0.002
-0.286,0.563,-1.788,0.002
-0.286,0.562,-1.788,0.002
-0.287,0.561,-1.787,0.002
-0.288,0.560,-1.786,0.002
-0.290,0.560,-1.785,0.002
-0.291,0.560,-1.785,0.002
-0.292,0.560,-1.785,0.002
-0.294,0.560,-1.784,0.002
-0.295,0.559,-1.783,0.002
-0.297,0.558,-1.782,0.002
-0.299,0.557,-1.781,0.002
-0.301,0.556,-1.779,0.002
-0.302,0.554,-1.778,0.001
-0.304,0.552,-1.776,0.001
-0.306,0.550,-1.774,0.001
-0.307,0.549,-1.773,0.001
-0.309,0.548,-1.772,0.001
-0.311,0.548,-1.771,0.001
-0.313,0.547,-1.770,0.001
-0.315,0.546,-1.769,0.001
