tr,cr,fr,z
-0.717,0.626,-1.525,0.040
-0.715,0.627,-1.529,0.040
-0.712,0.628,-1.532,0.040
-0.710,0.629,-1.535,0.040
-0.708,0.629,-1.539,0.040
-0.706,0.630,-1.542,0.039
-0.704,0.631,-1.545,0.039
-0.701,0.632,-1.548,0.039
-0.699,0.632,-1.551,0.039
-0.697,0.633,-1.555,0.038
-0.695,0.634,-1.558,0.038
-0.693,0.634,-1.561,0.038
-0.690,0.635,-1.564,0.038
-0.688,0.635,-1.567,0.037
-0.686,0.636,-1.570,0.037
-0.684,0.637,-1.573,0.037
-0.681,0.637,-1.576,0.037
-0.679,0.637,-1.579,0.036
-0.677,0.638,-1.582,0.036
-0.674,0.638,-1.585,0.036
-0.672,0.639,-1.587,0.036
-0.670,0.639,-1.590,0.035
-0.668,0.639,-1.593,0.035
-0.665,0.639,-1.596,0.035
-0.663,0.640,-1.598,0.035
-0.661,0.640,-1.601,0.034
-0.658,0.640,-1.604,0.034
-0.656,0.640,-1.606,0.034
-0.654,0.640,-1.609,0.034
-0.652,0.640,-1.611,0.033
-0.649,0.640,-1.614,0.033
-0.647,0.641,-1.617,0.033
-0.645,0.641,-1.619,0.033
-0.642,0.641,-1.622,0.032
-0.640,0.641,-1.624,0.032
-0.638,0.641,-1.627,0.032
-0.635,0.641,-1.629,0.031
-0.633,0.641,-1.631,0.031
-0.630,0.641,-1.634,0.031
-0.628,0.641,-1.636,0.031
-0.626,0.640,-1.639,0.030
-0.623,0.640,-1.641,0.030
-0.621,0.640,-1.643,0.030
-0.618,0.640,-1.645,0.030
-0.616,0.640,-1.647,0.029
-0.613,0.640,-1.650,0.029
-0.611,0.639,-1.652,0.029
-0.608,0.639,-1.654,0.028
-0.606,0.639,-1.656,0.028
-0.603,0.639,-1.658,0.028
-0.600,0.639,-1.661,0.028
-0.598,0.639,-1.663,0.027
-0.595,0.639,-1.665,0.027
-0.593,0.639,-1.667,0.027
-0.590,0.639,-1.669,0.027
-0.588,0.639,-1.672,0.026
-0.585,0.638,-1.674,0.026
-0.582,0.638,-1.676,0.026
-0.580,0.638,-1.678,0.026
-0.577,0.638,-1.680,0.026
-0.574,0.638,-1.682,0.025
-0.572,0.638,-1.684,0.025
-0.569,0.638,-1.686,0.025
-0.566,0.638,-1.689,0.025
-0.564,0.637,-1.691,0.024
-0.561,0.637,-1.693,0.024
-0.558,0.637,-1.695,0.024
-0.555,0.637,-1.697,0.024
-0.553,0.637,-1.699,0.023
-0.550,0.636,-1.701,0.023
-0.547,0.636,-1.702,0.023
-0.544,0.636,-1.704,0.023
-0.542,0.636,-1.706,0.022
-0.539,0.635,-1.708,0.022
-0.536,0.635,-1.710,0.022
-0.533,0.635,-1.712,0.022
-0.530,0.635,-1.714,0.022
-0.528,0.634,-1.716,0.021
-0.525,0.634,-1.717,0.021
-0.522,0.634,-1.719,0.021
-0.519,0.633,-1.721,0.021
-0.516,0.633,-1.723,0.020
-0.513,0.633,-1.724,0.020
-0.510,0.632,-1.726,0.020
-0.507,0.632,-1.728,0.020
-0.505,0.632,-1.730,0.020
-0.502,0.631,-1.731,0.019
-0.499,0.631,-1.733,0.019
-0.496,0.630,-1.734,0.019
-0.493,0.630,-1.736,0.019
