Time (s),fs1 (User unit),fs2 (User unit),fs3 (User unit),fs4 (User unit),fs5 (User unit),fs6 (User unit)
2.64,1,1.1,3.2,3.3,4.4,6.5
2.65,1,1.1,3.2,3.3,4.4,6.5
2.66,1,1.1,3.2,4.3,4.4,6.5
2.67,1,1.1,3.2,4.3,4.4,6.5
2.68,1,1.1,3.2,4.3,4.4,6.5
2.69,1,1.1,3.2,4.3,4.4,5.5
2.7,0,1.1,3.2,4.3,4.4,5.5
2.71,0,1.1,3.2,4.3,4.4,5.5
2.72,0,1.1,3.2,4.3,4.4,5.5
2.73,0,1.1,3.2,4.3,4.4,5.5
2.74,0,1.1,3.2,4.3,5.4,5.5
2.75,0,1.1,3.2,3.3,5.4,5.5
2.76,1,1.1,3.2,4.3,4.4,5.5
2.77,1,1.1,3.2,3.3,5.4,5.5
2.78,1,1.1,2.2,3.3,4.4,6.5
2.79,1,1.1,2.2,3.3,5.4,5.5
2.8,1,1.1,3.2,3.3,4.4,5.5
2.81,1,1.1,3.2,4.3,4.4,6.5
2.82,0,2.1,3.2,4.3,4.4,5.5
2.83,0,2.1,3.2,4.3,5.4,5.5
2.84,0,1.1,3.2,3.3,5.4,5.5
2.85,0,1.1,3.2,3.3,5.4,5.5
2.86,0,1.1,3.2,3.3,5.4,5.5
2.87,0,1.1,3.2,3.3,5.4,5.5
2.88,1,1.1,3.2,4.3,4.4,6.5
2.89,1,1.1,3.2,4.3,4.4,6.5
2.9,0,2.1,3.2,3.3,4.4,5.5
2.91,0,2.1,3.2,3.3,5.4,6.5
2.92,0,2.1,2.2,3.3,5.4,6.5
2.93,0,2.1,2.2,3.3,5.4,6.5
2.94,0,2.1,2.2,3.3,5.4,5.5
2.95,0,2.1,2.2,4.3,4.4,5.5
2.96,0,2.1,2.2,4.3,5.4,6.5
2.97,0,2.1,2.2,3.3,5.4,6.5
2.98,0,2.1,2.2,3.3,5.4,6.5
2.99,0,2.1,2.2,3.3,4.4,6.5
3,0,2.1,3.2,3.3,4.4,6.5
3.01,1,1.1,2.2,3.3,4.4,6.5
3.02,0,1.1,3.2,3.3,4.4,6.5
3.03,0,1.1,3.2,3.3,4.4,6.5
3.04,0,1.1,3.2,4.3,4.4,6.5
3.05,0,2.1,3.2,4.3,5.4,5.5
3.06,0,2.1,3.2,3.3,5.4,5.5
3.07,0,2.1,2.2,3.3,5.4,5.5
3.08,0,2.1,2.2,3.3,5.4,5.5
3.09,0,2.1,2.2,3.3,5.4,5.5
3.1,0,2.1,2.2,3.3,5.4,5.5
3.11,0,1.1,3.2,3.3,5.4,5.5
3.12,0,1.1,3.2,4.3,4.4,5.5
3.13,0,1.1,3.2,3.3,4.4,5.5
3.14,0,1.1,3.2,3.3,4.4,5.5
3.15,0,1.1,3.2,3.3,5.4,6.5
3.16,0,1.1,3.2,3.3,4.4,5.5
3.17,0,1.1,3.2,3.3,5.4,6.5
3.18,0,1.1,3.2,3.3,5.4,6.5
3.19,0,1.1,3.2,3.3,5.4,5.5
3.2,1,2.1,2.2,3.3,5.4,6.5
3.21,1,2.1,2.2,3.3,4.4,5.5
3.22,1,1.1,2.2,4.3,4.4,5.5
3.23,0,1.1,2.2,4.3,4.4,5.5
3.24,0,1.1,3.2,4.3,4.4,5.5
3.25,0,1.1,3.2,3.3,4.4,5.5
3.26,0,1.1,3.2,3.3,4.4,5.5
3.27,0,1.1,3.2,3.3,5.4,5.5
3.28,1,1.1,3.2,3.3,5.4,6.5
3.29,1,2.1,3.2,3.3,4.4,6.5
3.3,1,1.1,3.2,4.3,4.4,6.5
3.31,0,2.1,2.2,4.3,4.4,6.5
3.32,1,1.1,2.2,4.3,4.4,6.5
3.33,0,2.1,2.2,3.3,4.4,6.5
3.34,0,1.1,2.2,3.3,4.4,6.5
3.35,1,1.1,3.2,4.3,4.4,6.5
3.36,0,2.1,3.2,4.3,4.4,6.5
3.37,0,2.1,3.2,3.3,4.4,6.5
3.38,0,2.1,3.2,3.3,5.4,6.5
3.39,0,2.1,2.2,3.3,5.4,5.5
3.4,1,2.1,2.2,3.3,5.4,5.5
3.41,0,1.1,3.2,3.3,5.4,5.5
3.42,0,1.1,3.2,3.3,5.4,5.5
3.43,0,1.1,3.2,3.3,5.4,5.5
3.44,1,1.1,3.2,4.3,4.4,5.5
3.45,1,1.1,3.2,4.3,4.4,5.5
3.46,0,2.1,3.2,3.3,5.4,6.5
3.47,0,1.1,3.2,4.3,4.4,5.5
3.48,0,2.1,3.2,3.3,5.4,6.5
3.49,0,1.1,3.2,4.3,4.4,5.5
3.5,0,1.1,3.2,4.3,4.4,5.5
3.51,0,1.1,3.2,4.3,4.4,5.5
3.52,0,1.1,3.2,4.3,4.4,5.5
3.53,0,1.1,3.2,4.3,4.4,6.5
3.54,0,1.1,3.2,4.3,5.4,5.5
3.55,0,1.1,3.2,4.3,4.4,5.5
3.56,0,1.1,3.2,4.3,4.4,5.5
3.57,1,1.1,3.2,3.3,5.4,6.5
3.58,0,1.1,3.2,4.3,4.4,6.5
3.59,1,1.1,3.2,3.3,5.4,6.5
3.6,0,1.1,3.2,3.3,5.4,5.5
3.61,0,1.1,3.2,3.3,5.4,5.5
3.62,1,1.1,3.2,4.3,5.4,5.5
3.63,1,1.1,3.2,4.3,5.4,5.5
3.64,1,1.1,3.2,3.3,5.4,5.5
3.65,0,1.1,3.2,4.3,5.4,5.5
3.66,0,1.1,3.2,3.3,5.4,5.5
3.67,0,1.1,3.2,3.3,5.4,5.5
3.68,0,1.1,3.2,3.3,5.4,5.5
3.69,0,1.1,3.2,3.3,5.4,5.5
3.7,0,1.1,3.2,3.3,5.4,5.5
3.71,0,1.1,3.2,4.3,4.4,6.5
3.72,0,1.1,3.2,4.3,4.4,5.5
3.73,0,1.1,3.2,3.3,5.4,5.5
3.74,0,1.1,3.2,4.3,5.4,5.5
3.75,0,1.1,3.2,3.3,5.4,5.5
3.76,0,1.1,3.2,4.3,4.4,5.5
3.77,0,1.1,3.2,4.3,5.4,5.5
3.78,0,1.1,3.2,4.3,4.4,5.5
3.79,0,1.1,3.2,4.3,5.4,5.5
3.8,0,1.1,3.2,4.3,5.4,5.5
3.81,0,1.1,3.2,4.3,5.4,5.5
3.82,0,1.1,3.2,3.3,5.4,5.5
3.83,0,1.1,3.2,3.3,5.4,5.5
3.84,0,1.1,3.2,3.3,5.4,5.5
3.85,0,1.1,3.2,4.3,5.4,5.5
3.86,0,1.1,3.2,4.3,5.4,5.5
3.87,0,1.1,3.2,4.3,4.4,5.5
3.88,0,2.1,3.2,4.3,4.4,5.5
3.89,0,2.1,2.2,4.3,4.4,6.5
3.9,0,2.1,2.2,3.3,5.4,5.5
3.91,0,2.1,2.2,3.3,5.4,5.5
3.92,0,2.1,2.2,3.3,5.4,5.5
3.93,0,2.1,2.2,3.3,5.4,5.5
3.94,0,2.1,2.2,3.3,5.4,6.5
3.95,0,2.1,2.2,3.3,5.4,5.5
3.96,0,2.1,2.2,4.3,4.4,6.5
3.97,0,2.1,3.2,3.3,4.4,5.5
3.98,0,2.1,2.2,4.3,4.4,5.5
3.99,0,2.1,3.2,3.3,4.4,5.5
4,0,2.1,3.2,3.3,5.4,5.5
4.01,0,1.1,3.2,4.3,5.4,5.5
4.02,0,1.1,3.2,3.3,5.4,5.5
4.03,0,1.1,3.2,3.3,5.4,5.5
4.04,0,1.1,3.2,3.3,5.4,5.5
4.05,0,1.1,3.2,3.3,5.4,5.5
4.06,0,2.1,3.2,3.3,5.4,5.5
4.07,0,1.1,3.2,4.3,5.4,5.5
4.08,0,2.1,3.2,3.3,4.4,6.5
4.09,0,2.1,3.2,3.3,4.4,6.5
4.1,1,1.1,3.2,3.3,4.4,6.5
4.11,0,1.1,3.2,3.3,4.4,6.5
4.12,0,1.1,3.2,3.3,4.4,6.5
4.13,0,1.1,3.2,3.3,4.4,6.5
