Time (s),sf1 (User unit),sf2 (User unit),sf3 (User unit),sf4 (User unit),sf5 (User unit),sf6 (User unit)
5.090,+4.359e-02,+3.506e-02,+4.054e-02,+3.024e-02,+3.731e-02,+4.170e-02
5.100,Null,Null,Null,Null,Null,Null
5.110,+4.420e-02,+3.306e-02,+4.137e-02,+2.481e-02,+3.531e-02,+4.262e-02
5.120,+3.829e-02,+3.190e-02,+4.199e-02,+2.171e-02,+3.413e-02,+4.329e-02
5.130,+3.490e-02,+3.121e-02,+4.249e-02,+1.992e-02,+3.344e-02,+4.382e-02
5.140,Null,Null,Null,Null,Null,Null
5.150,+3.934e-02,+3.079e-02,+4.292e-02,+1.889e-02,+3.301e-02,+4.427e-02
5.160,Null,Null,Null,Null,Null,Null
5.170,+4.369e-02,+3.035e-02,+4.369e-02,+1.793e-02,+3.256e-02,+4.504e-02
5.180,Null,Null,Null,Null,Null,Null
5.190,+3.838e-02,+3.022e-02,+4.405e-02,+1.771e-02,+3.243e-02,+4.540e-02
5.200,+3.533e-02,+3.013e-02,+4.439e-02,+1.757e-02,+3.232e-02,+4.574e-02
5.210,+3.357e-02,+3.004e-02,+4.474e-02,+1.747e-02,+3.224e-02,+4.609e-02
5.220,Null,Null,Null,Null,Null,Null
5.230,+3.254e-02,+2.997e-02,+4.508e-02,+1.740e-02,+3.216e-02,+4.643e-02
5.240,+3.192e-02,+2.991e-02,+4.542e-02,+1.735e-02,+3.209e-02,+4.676e-02
5.250,+3.154e-02,+2.984e-02,+4.576e-02,+1.730e-02,+3.202e-02,+4.710e-02
5.260,+3.130e-02,+3.618e-02,+4.610e-02,+1.726e-02,+3.196e-02,+4.743e-02
5.270,+3.114e-02,+3.994e-02,+4.643e-02,+1.722e-02,+3.189e-02,+4.777e-02
5.280,+3.102e-02,+4.223e-02,+4.677e-02,+1.719e-02,+3.183e-02,+4.810e-02
5.290,+3.092e-02,+4.367e-02,+4.710e-02,+1.715e-02,+3.176e-02,+4.843e-02
5.300,Null,Null,Null,Null,Null,Null
5.310,+3.084e-02,+4.465e-02,+4.743e-02,+1.712e-02,+3.170e-02,+4.876e-02
5.320,Null,Null,Null,Null,Null,Null
5.330,+3.070e-02,+3.948e-02,+4.810e-02,+1.705e-02,+3.157e-02,+4.942e-02
5.340,Null,Null,Null,Null,Null,Null
5.350,+3.703e-02,+3.612e-02,+4.843e-02,+1.701e-02,+3.151e-02,+4.975e-02
5.360,Null,Null,Null,Null,Null,Null
5.370,+4.079e-02,+3.417e-02,+4.876e-02,+1.698e-02,+3.144e-02,+5.008e-02
5.380,+4.308e-02,+3.304e-02,+4.909e-02,+1.695e-02,+3.138e-02,+5.041e-02
5.390,Null,Null,Null,Null,Null,Null
5.400,+4.452e-02,+3.236e-02,+4.942e-02,+1.691e-02,+3.132e-02,+5.074e-02
5.410,+4.549e-02,+3.195e-02,+4.975e-02,+2.328e-02,+3.126e-02,+5.106e-02
5.420,+4.619e-02,+3.169e-02,+5.008e-02,+2.066e-02,+3.119e-02,+5.139e-02
5.430,Null,Null,Null,Null,Null,Null
5.440,+4.673e-02,+3.151e-02,+5.041e-02,+1.916e-02,+3.753e-02,+5.171e-02
5.450,+4.718e-02,+3.778e-02,+5.074e-02,+2.469e-02,+3.489e-02,+5.204e-02
5.460,+4.758e-02,+4.150e-02,+4.466e-02,+2.799e-02,+3.335e-02,+5.236e-02
5.470,Null,Null,Null,Null,Null,Null
5.480,+4.795e-02,+4.377e-02,+4.117e-02,+3.003e-02,+3.245e-02,+5.268e-02
5.490,+4.830e-02,+4.520e-02,+3.915e-02,+3.135e-02,+3.831e-02,+5.301e-02
5.500,Null,Null,Null,Null,Null,Null
5.510,+4.865e-02,+4.616e-02,+3.796e-02,+3.226e-02,+4.180e-02,+5.333e-02
5.520,+4.898e-02,+4.686e-02,+3.726e-02,+3.293e-02,+4.393e-02,+5.365e-02
5.530,+4.932e-02,+4.739e-02,+3.682e-02,+3.347e-02,+4.529e-02,+5.397e-02
5.540,+4.965e-02,+4.784e-02,+3.654e-02,+3.393e-02,+4.620e-02,+5.429e-02
5.550,Null,Null,Null,Null,Null,Null
5.560,+4.998e-02,+4.824e-02,+3.635e-02,+3.435e-02,+4.687e-02,+5.461e-02
5.570,+5.031e-02,+4.861e-02,+3.621e-02,+3.474e-02,+4.739e-02,+5.493e-02
5.580,Null,Null,Null,Null,Null,Null
5.590,+5.064e-02,+4.896e-02,+3.610e-02,+3.512e-02,+4.783e-02,+5.525e-02
5.600,+5.096e-02,+4.930e-02,+3.601e-02,+3.549e-02,+4.823e-02,+5.556e-02
5.610,+4.489e-02,+4.964e-02,+3.593e-02,+3.585e-02,+4.859e-02,+5.588e-02
5.620,Null,Null,Null,Null,Null,Null
5.630,+4.140e-02,+4.357e-02,+3.585e-02,+3.621e-02,+4.894e-02,+5.620e-02
5.640,Null,Null,Null,Null,Null,Null
5.650,+4.577e-02,+4.648e-02,+3.577e-02,+3.017e-02,+4.928e-02,+5.651e-02
5.660,+4.841e-02,+4.828e-02,+3.570e-02,+2.670e-02,+4.962e-02,+5.683e-02
5.670,Null,Null,Null,Null,Null,Null
5.680,+5.005e-02,+4.945e-02,+3.562e-02,+2.471e-02,+4.995e-02,+5.714e-02
5.690,+5.112e-02,+5.025e-02,+3.555e-02,+2.356e-02,+5.028e-02,+5.746e-02
5.700,+5.187e-02,+5.085e-02,+3.548e-02,+2.288e-02,+4.421e-02,+5.777e-02
5.710,Null,Null,Null,Null,Null,Null
5.720,+5.244e-02,+5.133e-02,+3.541e-02,+2.247e-02,+4.072e-02,+5.808e-02
5.730,+4.650e-02,+5.175e-02,+3.534e-02,+2.222e-02,+3.870e-02,+5.839e-02
5.740,Null,Null,Null,Null,Null,Null
5.750,+4.948e-02,+5.212e-02,+3.527e-02,+2.206e-02,+3.751e-02,+5.870e-02
5.760,Null,Null,Null,Null,Null,Null
5.770,+5.132e-02,+5.247e-02,+3.520e-02,+2.195e-02,+3.681e-02,+5.901e-02
5.780,+5.251e-02,+5.281e-02,+3.513e-02,+2.187e-02,+3.638e-02,+5.932e-02
5.790,Null,Null,Null,Null,Null,Null
5.800,+5.332e-02,+5.314e-02,+3.506e-02,+2.180e-02,+3.610e-02,+5.963e-02
5.810,+5.392e-02,+5.347e-02,+3.499e-02,+2.175e-02,+3.591e-02,+5.994e-02
5.820,Null,Null,Null,Null,Null,Null
5.830,+5.440e-02,+5.379e-02,+3.492e-02,+2.170e-02,+3.577e-02,+6.025e-02
5.840,+4.841e-02,+5.412e-02,+3.485e-02,+2.165e-02,+3.566e-02,+6.056e-02
5.850,Null,Null,Null,Null,Null,Null
5.860,+4.496e-02,+5.444e-02,+4.118e-02,+2.161e-02,+3.557e-02,+6.086e-02
5.870,+4.296e-02,+5.476e-02,+4.493e-02,+2.156e-02,+3.549e-02,+6.117e-02
5.880,Null,Null,Null,Null,Null,Null
5.890,+4.178e-02,+5.508e-02,+4.720e-02,+2.152e-02,+3.541e-02,+6.148e-02
5.900,+4.108e-02,+5.539e-02,+4.224e-02,+2.147e-02,+4.173e-02,+6.178e-02
5.910,Null,Null,Null,Null,Null,Null
5.920,+4.064e-02,+5.571e-02,+3.939e-02,+2.143e-02,+4.548e-02,+6.209e-02
5.930,+4.036e-02,+5.603e-02,+4.413e-02,+2.139e-02,+4.776e-02,+6.239e-02
5.940,Null,Null,Null,Null,Null,Null
5.950,+4.017e-02,+5.634e-02,+4.697e-02,+2.134e-02,+4.919e-02,+6.269e-02
5.960,+4.002e-02,+5.026e-02,+4.873e-02,+2.130e-02,+5.015e-02,+6.299e-02
5.970,Null,Null,Null,Null,Null,Null
5.980,+3.990e-02,+4.675e-02,+4.987e-02,+2.126e-02,+5.084e-02,+6.330e-02
5.990,+3.980e-02,+4.472e-02,+5.066e-02,+2.122e-02,+4.497e-02,+6.360e-02
6.000,Null,Null,Null,Null,Null,Null
6.010,+3.971e-02,+4.352e-02,+5.126e-02,+2.117e-02,+4.159e-02,+6.390e-02
6.020,+3.962e-02,+4.281e-02,+5.173e-02,+2.113e-02,+3.964e-02,+6.420e-02
6.030,Null,Null,Null,Null,Null,Null
